Numer VIN,Model,Rok produkcji,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Stan techniczny,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Lokalizacja,Województwo,Tytuł,Rodzaj ogłoszenia,Znalezione o,Link,ID,Producent,Opis,Czy cena do negocjacji
,Meriva,2005,Diesel,Hatchback,1,Czerwony,1700.0,Nieuszkodzony,Manualna,Niemcy,100.0,Na przednie koła,po lewej,5900.0,Płock,Mazowieckie,NAJBOGATSZA wersja meriva Skóry XENON grz.FOTELE I WŁ rej PL,Prywatne,2025-04-19 16:57:10.584266,https://www.olx.pl/d/oferta/najbogatsza-wersja-meriva-skory-xenon-grz-fotele-i-wl-rej-pl-CID5-IDX7ozv.html,873566578,Opel,"Witam!
Proponuję Państwu zadbany i funkcjonalny samochód jakim jest OPEL MERIVA w NAJBOGATSZEJ wersji wyposażenia z wyprofilowanymi skórzanymi FOTELAMI , KLIMATYZACJĄ , pełną elektryką i PODGRZEWANYMI fotelami oraz fabrycznym XENONEM , zarejestrowany w POLSCE , od pierwszego WŁAŚCICIELA!

Mimo 21 lat pojazd ten wciąż sprawnie jeździ , technicznie jest sprawny 100%można wsiadać i od razu cieszyć się z jazdy.
Uroku dodaje metaliczny CZERWONY lakier oraz oryginalne ALUFELGI.

Silnik to PANCERNA jednostka napędowa 1.7 ISUZU co pozwala na SPRAWNE I BEZAWARYJNE PORUSZANIE SIĘ AUTEM. Pracuje równo i cicho nie ma z nim żadnych problemów.
W połączeniu z MANUALNĄ skrzynią biegów jest bardzo KOMFORTOWY i daje dużo przyjemności z jazdy a przy tym ekonomiczny bo spala ok 5l/ 100km.

Auto posiada seryjne zawieszenie , które jest w stanie bdb, co sprawia że pewnie pokonuje zakręty, i świetnie trzyma się drogi.

Auto jest dobrze wyposażone, środek jest czysty i zadbany!!!

Ponad to
POSIADA WAŻNE WSZYSTKIE OPŁATY przegląd i ubezpieczenie OC , oraz KOMPLETNĄ DOKUMENTACJĘ 2 x klucze.

Auto jak najbardziej do jazdy , nie wymaga wkładu finansowego , można sprawdzić na dowolnie wybranym serwisie .

CENA do negocjacji dla konkretnego klienta. Możliea zamiana na inne auto lub motocykl

Auto jest zadbane i warte swojej ceny!!! dlatego kolejny właściciel będzie na pewno zadowolony!!!

LOKALIZACJA : Płock woj. mazowieckie (100 km od Warszawy, 100km od Torunia, 100 km od Łodzi )
więcej informacji pod nr tel
ZAPRASZAM na jazdę próbną :)",True
WF0RXXGCDRBL76804,Kuga,2011,Diesel,SUV,191000,Inny kolor,1997.0,Nieuszkodzony,Automatyczna,Niemcy,,,po lewej,35800.0,Gorlice,Małopolskie,Do sprzedania Ford Kuga,Prywatne,2025-04-19 16:57:12.273602,https://www.olx.pl/d/oferta/do-sprzedania-ford-kuga-CID5-ID15hsCA.html,994176112,Ford,"Do sprzedania Ford Kuga 2011r.
Auto sprowadzone z Niemiec. W Polsce jestem pierwszym właścicielem,auto posiadam od półtora roku, przegląd i OC ważne do września,więcej informacji udzielę telefonicznie.",True
,Patrol,1989,Benzyna,Terenowy,1,Niebieski,4400.0,Nieuszkodzony,Manualna,,320.0,4x4 (dołączany ręcznie),po lewej,52000.0,Zbąszyń,Wielkopolskie,Nissan patrol Y60 2d,Prywatne,2025-04-19 17:21:04.667883,https://www.olx.pl/d/oferta/nissan-patrol-y60-2d-CID5-ID15aDFh.html,992550267,Nissan,"Nissan patrol Y60 2d (krótki) dwu os z silnikiem BMW
Silnik po remoncie na oryginałach BMW
zarejestrowany z przeglądem i ubezpieczony
Samochód z przeznaczeniem rajdowym w kategorii Cross-cuntry ,w których odnosił sukcesy
Chłodnica przeniesiona na tył
Samochód w bardzo dobrej kondycji technicznej
!!Przy sprzedaży samochodu wystawiamy fakturę VAT!!

Dan techniczne:
BMW 4.4 Benzyna
320HP
Napęd 4x4
fotele kubełkowe Bimarco
Homologowana klatka FIA
Nowe wały napędowe
Po przeglądzie:
Mosty przedni i tylny
Hamulce
Amortyzatory bypass KING
Bum stop przód i tył
Psy 4-punktowe Sabelt
Centrala interkomu",False
SB1KT3JEX0E053811,Auris,2018,Benzyna,Hatchback,45800,Inny kolor,,Nieuszkodzony,Manualna,Polska,100.0,Na przednie koła,,55000.0,Olsztyn,Warmińsko-mazurskie,Toyota Auris Hatchback 1.33 VVT-i Active,Prywatne,2025-04-19 17:31:31.527822,https://www.olx.pl/d/oferta/toyota-auris-hatchback-1-33-vvt-i-active-CID5-ID15thGr.html,996994003,Toyota,"Toyota Auris Hatchback 1.33 VVT-i Active
Przebieg: 45 800km
Rodzaj paliwa : benzyna
Moc: 73 KW (100 hp)
rok produkcji 2018/19 rejestracja (ostatni wypust)
VIN : SB1KT3JEX0E053811
Skrzynia : manualna 6-cio biegowa.
2 komplety opon (zima/lato)
Kolor : Inny

Wyposażenie samochodu:
Radio CD/USB
Bluetooth
Klimatyzacja
Zestaw głośnomówiący (telefon)
Czujniki parkowania przód
Czujniki parkowania tył
Alarm
Centralny zamek
Światła xenonowe
Światła do jazdy dziennej
Tapicerka welurowa
Kierownica multifunkcyjna (skórzana)
Wspomaganie kierownicy
ABS
Podłokietnik przód
Podgrzewana tylna szyba
ESP
Elektrycznie regulowane lusterka
Czujnik deszczu
Elektryczne przednie szyby.

Dzień dobry,
Do sprzedania posiadam samochód marki Toyota Auris z 2018r. ( rejestracja 05.19r.). Samochód w perfekcyjnym stanie wizualnym jak i technicznym. Jestem pierwszym właścicielem tego samochodu od nowości. Autko ma bardzo niski przebieg, niecałe 46tys oraz jest bezwypadkowe. Pojazd trzymany w garażu oraz serwisowany do 2024r w Toyocie. Auris nie posiada oznak korozji rys czy zniszczonych elementów tapicerki. Gorąco polecam i zapraszam na oględziny oraz jazdę próbną",True
,Fabia,2008,Diesel,Kombi,300000,Inny kolor,1400.0,Nieuszkodzony,Manualna,,,Na przednie koła,po lewej,2490.0,Ożarów Mazowiecki,Mazowieckie,Autokomis TopCar! Skoda Fabia 1.4 Diesel/2008 Rok/Licenzia Taxi/Okazja,Firmowe,2025-04-19 17:42:40.912990,https://www.olx.pl/d/oferta/autokomis-topcar-skoda-fabia-1-4-diesel-2008-rok-licenzia-taxi-okazja-CID5-ID15brXr.html,992743593,Skoda,"Autokomis TopCar Ul. Poznańska 308 Ożarów Mazowiecki

MOŻLIWOŚĆ ZOSTAWIENIA
AUTA W ROZLICZENIU !

TAK ŻE OFERUJEMY USŁUGĘ DOSTARCZENIA AUTA POD DOM

Witam wszystkich, na sprzedaż leci piękna i niezawodna Skoda Fabia wyprodukowana w 2008 Roku z najlepszym niezawodnym silnikiem 1.4 Diesel, autko jest zadbane i serwisowane zawsze na czas w tej chwili jest w 100% sprawne i nie potrzebuje wkładu finansowego, OC i PT jest aktualne tak że śmiało można wracać na kołach

Z wyposażenia to:

- Elektryczne 4 szyby
- centralny zamek
- podgrzewana tylna szyba
- System ABS + EBD + EBA
- wspomaganie kierownicy
- Elektroniczny zegar
- Elektroniczny termometr temp zewnetrznej
- Kierownica regulowana w dwoch plazczyznach
- Reczna regulacja wysokosci reflektorow
- Komputer pokladowy obliczajacy srednie/chwilowe spalanie, zasieg auta itd
- podgrzewane lusterka
- elektrycznie sterowane szyby (przod+tyl)
- dwustrefowy klimatronik

Autko jest w dobrym stanie zadbane i bardzo przyjemne w użytkowaniu

CHĘTNIE ZAMIENIMY!

RÓWNIEŻ SKUPUJEMY AUTA ZA GOTÓWKĘ !

Zapraszamy na oglądanie i jazdę próbną

Adres ul. Poznańska 308, Ożarów Mazowiecki

Otwarte jest 7 Dni w tygodni

W dni świąteczne również pracujemy

Od 10:00 do 20:00

Wystawiam fakturę VAT-MARŻA, kupujący jest zwolniony z opłaty skarbowej!

Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl art. 66, §1.Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia.",True
,Altea,2009,Diesel,Minivan,412,Czarny,2000.0,Nieuszkodzony,Manualna,,140.0,,,15900.0,Izbice,Wielkopolskie,Seat Altea Freetrack,Prywatne,2025-04-19 17:43:02.421783,https://www.olx.pl/d/oferta/seat-altea-freetrack-CID5-ID15oOnR.html,995928063,Seat,"Seat Altea Freetrack, 2009.r 2,0 TDI 140 km, przebieg 412tys., skrzynia manualna 6 biegów, 4×el.szyby, centralny zamek,lusterka podgrzewane składane. Tel.6********55",True
,Xsara Picasso,2007,Benzyna,Hatchback,186000,Niebieski,,Nieuszkodzony,Manualna,Niemcy,,Na przednie koła,po lewej,8500.0,Rakownia,Wielkopolskie,Citroen Xsara Picasso,Prywatne,2025-04-19 17:57:11.584822,https://www.olx.pl/d/oferta/citroen-xsara-picasso-CID5-ID15s26b.html,996695767,Citroen,"Sprzedam samochód Citroen Xsara Picasso z bezawaryjnym silnikiem 1,6 16v. Jestem pierwszym właścicielem w Polsce 1,5 roku w kraju. Wszystkie naprawy na bieżąco.... Auto bez wkładu finansowego gotowe do jazdy. Auto bezwypadkowe, pisemna gwaracja przebiegu. Przebieg jak na zdjęciu. Auto bardzo dobrze wyposażone. Pozostałe informacje udzielę telefonicznie.",True
WVWZZZ3CZEP008281,Passat,2013,Diesel,Sedan,210000,Czarny,2000.0,Uszkodzony,Automatyczna,Polska,,,po lewej,25000.0,Kruklanki,Warmińsko-mazurskie,"VW Passat 2013 rok, uszkodzony",Prywatne,2025-04-19 18:08:14.312118,https://www.olx.pl/d/oferta/vw-passat-2013-rok-uszkodzony-CID5-ID15pNYg.html,996164804,Volkswagen,"Witam. Aukcją koleżeńska nie odpowiadam za stan pojazdu (uszkodzenia blacharki). Sprawny mechanicznie. Uszkodzony blacharsko. Wszystko do ustalenia po oględzinach pojazdu.
Zaproponuj cenę SMS/ Zadzwoń",True
,Legacy,1999,LPG,Kombi,313000,Niebieski,,Nieuszkodzony,Manualna,,165.0,4x4 (dołączany ręcznie),po lewej,4500.0,Wygiełzów,Łódzkie,Subaru Legacy 2.5LPG 4x4 Reduktor Klima Hak,Prywatne,2025-04-19 18:09:03.347877,https://www.olx.pl/d/oferta/subaru-legacy-2-5lpg-4x4-reduktor-klima-hak-CID5-ID15r10U.html,996453268,Subaru,"Witam posiadam na sprzedaż Subaru Legacy 2.5 165KM LPG z 1999r. Auto technicznie w super stanie - zawieszenie sztywne , ciche , zwarte nie wybite, napęd sprawny reduktor również . Samochód śmiga bez problemu na gazie jak i benzynie. Pod względem korozji również bardzo dobrze- jedynie pojedyńcze wypryski , żadnych dziur czy przerdzewiałych elementów. Wizualnie jak widać na zdjęciach auto miało przygode przez co ucierpiała tylna klapa oraz tylny prawy błotnik . Pomimo stłuczki konstrukcja samochodu w stanie nie naruszonym , geometria w porządku nie ściąga nie bije.
Z racji wieku samochodu uszkodzenie blacharskie nie było naprawiane ponieważ oprócz tego że jest nie przyjemne dla oka nie wpływa na użytkowanie samochodu.
Samochód jest bardzo dynamiczny i zarazem oszczędny dzięki instalacji LPG.
Z wyjątkiem centralnego zamka Elektryka sprawna , klimatyzacja również , silniczek pracuje równo i cicho oraz jest bardzo żwawy- jak na boksera przystało ;)
OC do 11.2025
PT do 03.2026
Butla do 2026
Cena do negocjacji
Wiecej informacji o samochodzie chętnie udzielę telefonicznie
tel: 5*3*3*5*6*7*9*0*1
Możliwa zamiana",True
,Pozostałe,2017,Diesel,Hatchback,59000,Biały,440.0,Nieuszkodzony,Automatyczna,Holandia,4.0,Na przednie koła,,31999.0,Malbork,Pomorskie,Microcar M.go Elegant-Cichy silnik DCi-Kamera cofania-Transport Gratis,Firmowe,2025-04-19 18:19:58.441330,https://www.olx.pl/d/oferta/microcar-m-go-elegant-cichy-silnik-dci-kamera-cofania-transport-gratis-CID5-ID15463Z.html,990991135,Aixam,"Uwaga zamknięte od dnia 04.04.2025 do dnia 08-04-2025!!

! Zarejestrowany w kraju !!

Auto Bezwypadkowe !!

Serwis do końca -Sprowadzone z Holandii

Zapraszamy do nas jesteśmy na rynku od 30 lat specjalizujemy się od 10 lat pojazdami typu Microcar Aixam JDM Grecav chatenet Ligier

SKUP MICROKARÓW -SPRZEDAŻ

Auto- Handel Muzalewski Firma Rodzina z tradycją od 30lat w branży samochodowej .

UWAGA AUTO ZAREJESTROWANE W KRAJU aktualny przegląd i Ubezpieczenie

Transport gratis na terenie Polski do 300km

Witam wszystkich państwa którzy marzą o swoich 4 kółkach ale nie posiadają prawa jazdy kat B1 ,nasza firma proponuje wspaniałe wyjście lepsze od skutera ale prawnie na tej samej zasadzie autkiem można jeździć od 14 lat na AM(uprawnienia motorower skuter Quad

Firma zapoznała się dokładnie z przepisami ruchu i ustawą i GWARANTUJEMY że tym autkiem poruszać się bez Prawa jazdy kat B1 od 14 roku życia

Microcar flagowy model marki M.go XXL

Silnik bardzo ładnie pracuje niezawodne ciche Dci

Kat L6e -349kg

Rok produkcji 2017

Przed przyjazdem proszę potwierdzić wizytę .

Nie masz czasu na przyjazd do nas zamów samochód pod dom więcej informacji przez telefon .

Konkretnie odpowiem na każde pytanie na pewno na miejscu się nie rozczarujesz mówimy konkretnie o stanie auta na życzenie wysyłamy więcej foto danego modelu .
*Transport gratis dotyczy tylko wtedy kiedy cena nie ulega zmianie (bez negocjacji)

Tel ;Dział sprzedaży samochodów Rafał
609
213
561

Dział Sprzedaży części Marta
578
638
373",False
,Crossline,2014,Diesel,Kombi,59000,Niebieski,400.0,Nieuszkodzony,Automatyczna,Francja,4.0,Na przednie koła,,24999.0,Malbork,Pomorskie,Crossline-Kubota-Kamera cofania-Transport Gratis- Serwis !!,Firmowe,2025-04-19 18:20:15.067766,https://www.olx.pl/d/oferta/crossline-kubota-kamera-cofania-transport-gratis-serwis-CID5-ID1545B8.html,990989346,Aixam,"Uwaga zamknięte od dnia 04.04.2025 do dnia 08-04-2025!!

! Zarejestrowany w kraju !!

Autko po serwisie -nowe elementy zawieszenia i hamulców oraz wymienione filtry i oleje -Gotowy do drogi !!

Zapraszamy do nas jesteśmy na rynku od 30 lat specjalizujemy się od 10 lat pojazdami typu Microcar Aixam JDM Grecav chatenet Ligier

SKUP MICROKARÓW -SPRZEDAŻ

Auto- Handel Muzalewski Firma Rodzina z tradycją od 30lat w branży samochodowej .

UWAGA AUTO ZAREJESTROWANE W KRAJU aktualny przegląd i Ubezpieczenie

Transport gratis na terenie Polski do 300km

Witam wszystkich państwa którzy marzą o swoich 4 kółkach ale nie posiadają prawa jazdy kat B1 ,nasza firma proponuje wspaniałe wyjście lepsze od skutera ale prawnie na tej samej zasadzie autkiem można jeździć od 14 lat na AM(uprawnienia motorower skuter Quad

Firma zapoznała się dokładnie z przepisami ruchu i ustawą i GWARANTUJEMY że tym autkiem poruszać się bez Prawa jazdy kat B1 od 14 roku życia

Aixam flagowy model marki Crossline XXL

Silnik bardzo ładnie pracuje niezawodna Kubota

Kat L6e -349kg

Rok produkcji 2014

Przed przyjazdem proszę potwierdzić wizytę .

Nie masz czasu na przyjazd do nas zamów samochód pod dom więcej informacji przez telefon .

Konkretnie odpowiem na każde pytanie na pewno na miejscu się nie rozczarujesz mówimy konkretnie o stanie auta na życzenie wysyłamy więcej foto danego modelu .
*Transport gratis dotyczy tylko wtedy kiedy cena nie ulega zmianie (bez negocjacji)

Tel ;Dział sprzedaży samochodów Rafał
609
213
561

Dział Sprzedaży części Marta
578
638
373
ID: 951329749",False
